run_tag,epoch,params_m,latency_ms,avg_psnr,avg_ssim,batch_size,height,width,seed
B+SE_rank,85,2.4644,70.68,22.5578,0.9957,1,256,384,123
B+E_rank,93,2.3122,67.41,22.5423,0.9957,1,256,384,123
B+W_rank,91,1.5007,163.63,22.3228,0.9957,1,256,384,123
B0_rank,76,2.5302,70.99,22.5385,0.9953,1,256,384,123
B+SE_rank,86,2.4644,70.68,22.6004,0.9957,1,256,384,123
B+W_rank,92,1.5007,163.63,22.1635,0.9957,1,256,384,123
B+E_rank,94,2.3122,67.41,22.5405,0.9957,1,256,384,123
B0_rank,77,2.5302,70.99,22.4177,0.9952,1,256,384,123
B+W_rank,93,1.5007,163.63,22.1869,0.9956,1,256,384,123
B+E_rank,95,2.3122,67.41,22.4615,0.9957,1,256,384,123
B+SE_rank,87,2.4644,70.68,22.6275,0.9958,1,256,384,123
B0_rank,78,2.5302,70.99,22.6568,0.9956,1,256,384,123
B+W_rank,94,1.5007,163.63,22.2785,0.9957,1,256,384,123
B+E_rank,96,2.3122,67.41,22.5322,0.9958,1,256,384,123
B+SE_rank,88,2.4644,70.68,22.5361,0.9958,1,256,384,123
B0_rank,79,2.5302,70.99,22.5082,0.9955,1,256,384,123
B+W_rank,95,1.5007,163.63,22.1791,0.9956,1,256,384,123
B+E_rank,97,2.3122,67.41,22.5052,0.9957,1,256,384,123
B+SE_rank,89,2.4644,70.68,22.4520,0.9957,1,256,384,123
B+W_rank,96,1.5007,163.63,22.2098,0.9956,1,256,384,123
B0_rank,80,2.5302,70.99,22.1647,0.9952,1,256,384,123
B+E_rank,98,2.3122,67.41,22.4673,0.9957,1,256,384,123
B+SE_rank,90,2.4644,70.68,22.5631,0.9958,1,256,384,123
B+W_rank,97,1.5007,163.63,22.2512,0.9956,1,256,384,123
B0_rank,81,2.5302,70.99,22.5957,0.9954,1,256,384,123
B+E_rank,99,2.3122,67.41,22.5704,0.9957,1,256,384,123
B+SE_rank,91,2.4644,70.68,22.5426,0.9957,1,256,384,123
B+W_rank,98,1.5007,163.63,22.2796,0.9956,1,256,384,123
B0_rank,82,2.5302,70.99,22.4701,0.9953,1,256,384,123
B+E_rank,100,2.3122,67.41,22.5511,0.9957,1,256,384,123
B+W_rank,99,1.5007,163.63,22.2519,0.9956,1,256,384,123
